fecha,Cargo fijo,Cargo variable,Impuestos,Subsidio estado
Feb-25,7394.24,43167.22,13845.25,4080.35
Mar-25,7940.24,45266.47,14569.59,922.53
Abr-25,2104.68,27176.38,8018.03,0
May-25,2165.65,27217.17,8045.90,0
Jun-25,2481.62,37545.01,10960.49,8277.60
Jul-25,2584.41,38045.88,11125.79,9856.66
Ago-25,13745.47,68781.00,22598.22,15171.80
Sep-25,14000.53,69567.14,22883.34,12001.43
Oct-25,8998.67,47993.60,15606.20,8106.69
Nov-25,9287.21,48287.59,15765.71,8178.14
Dic-25,18172.69,96272.01,31338.40,6693.31
Ene-26,10670.84,64073.44,20467.23,2221.86
Feb-26,31771.45,84659.01,31882.16,386.60
