fecha_emision,concepto,monto
25/02/2025,Cargo fijo,7394.24
25/02/2025,Cargo variable,43167.22
25/02/2025,Impuestos,13845.25
25/02/2025,Subsidio estado,4080.35
25/03/2025,Cargo fijo,7940.24
25/03/2025,Cargo variable,45266.47
25/03/2025,Impuestos,14569.59
25/03/2025,Subsidio estado,922.53
24/04/2025,Cargo fijo,2104.68
24/04/2025,Cargo variable,27176.38
24/04/2025,Impuestos,8018.03
24/04/2025,Subsidio estado,0.00
26/05/2025,Cargo fijo,2165.65
26/05/2025,Cargo variable,27217.17
26/05/2025,Impuestos,8045.90
26/05/2025,Subsidio estado,0.00
25/06/2025,Cargo fijo,2481.62
25/06/2025,Cargo variable,37545.01
25/06/2025,Impuestos,10960.49
25/06/2025,Subsidio estado,8277.60
24/07/2025,Cargo fijo,2584.41
24/07/2025,Cargo variable,38045.88
24/07/2025,Impuestos,11125.79
24/07/2025,Subsidio estado,9856.66
26/08/2025,Cargo fijo,13745.47
26/08/2025,Cargo variable,68781.00
26/08/2025,Impuestos,22598.22
26/08/2025,Subsidio estado,15171.80
24/09/2025,Cargo fijo,14000.53
24/09/2025,Cargo variable,69567.14
24/09/2025,Impuestos,22883.34
24/09/2025,Subsidio estado,12001.43
27/10/2025,Cargo fijo,8998.67
27/10/2025,Cargo variable,47993.60
27/10/2025,Impuestos,15606.20
27/10/2025,Subsidio estado,8106.69
25/11/2025,Cargo fijo,9287.21
25/11/2025,Cargo variable,48287.59
25/11/2025,Impuestos,15765.71
25/11/2025,Subsidio estado,8178.14
24/12/2025,Cargo fijo,18172.69
24/12/2025,Cargo variable,96272.01
24/12/2025,Impuestos,31338.40
24/12/2025,Subsidio estado,6693.31
26/01/2026,Cargo fijo,10670.84
26/01/2026,Cargo variable,64073.44
26/01/2026,Impuestos,20467.23
26/01/2026,Subsidio estado,2221.86
24/02/2026,Cargo fijo,31771.45
24/02/2026,Cargo variable,84659.01
24/02/2026,Impuestos,31882.16
24/02/2026,Subsidio estado,386.60
