fecha,concepto,monto
2025-02,Cargo variable,43167.22
2025-02,Impuestos,13845.25
2025-02,Cargo fijo,7394.24
2025-02,Subsidio estado,4080.35
2025-03,Cargo variable,45266.47
2025-03,Impuestos,14569.59
2025-03,Cargo fijo,7940.24
2025-03,Subsidio estado,922.53
2025-04,Cargo variable,27176.38
2025-04,Impuestos,8018.03
2025-04,Cargo fijo,2104.68
2025-04,Subsidio estado,0.01
2025-05,Cargo variable,27217.17
2025-05,Impuestos,8045.90
2025-05,Cargo fijo,2165.65
2025-05,Subsidio estado,0.01
2025-06,Cargo variable,37545.01
2025-06,Impuestos,10960.49
2025-06,Cargo fijo,2481.62
2025-06,Subsidio estado,8277.60
2025-07,Cargo variable,38045.88
2025-07,Impuestos,11125.79
2025-07,Cargo fijo,2584.41
2025-07,Subsidio estado,9856.66
2025-08,Cargo variable,68781.00
2025-08,Impuestos,22598.22
2025-08,Cargo fijo,13745.47
2025-08,Subsidio estado,15171.80
2025-09,Cargo variable,69567.14
2025-09,Impuestos,22883.34
2025-09,Cargo fijo,14000.53
2025-09,Subsidio estado,12001.43
2025-10,Cargo variable,47993.60
2025-10,Impuestos,15606.20
2025-10,Cargo fijo,8998.67
2025-10,Subsidio estado,8106.69
2025-11,Cargo variable,48287.59
2025-11,Impuestos,15765.71
2025-11,Cargo fijo,9287.21
2025-11,Subsidio estado,8178.14
2025-12,Cargo variable,96272.01
2025-12,Impuestos,31338.40
2025-12,Cargo fijo,18172.69
2025-12,Subsidio estado,6693.31
2026-01,Cargo variable,64073.44
2026-01,Impuestos,20467.23
2026-01,Cargo fijo,10670.84
2026-01,Subsidio estado,2221.86
2026-02,Cargo variable,84659.01
2026-02,Impuestos,31882.16
2026-02,Cargo fijo,31771.45
2026-02,Subsidio estado,386.60
