fecha_emision,serie,valor_normalizado
25/02/2025,Consumo kWh,0.51
25/02/2025,Temperatura °C,0.88
25/03/2025,Consumo kWh,0.51
25/03/2025,Temperatura °C,0.72
24/04/2025,Consumo kWh,0.03
24/04/2025,Temperatura °C,0.46
26/05/2025,Consumo kWh,0.03
26/05/2025,Temperatura °C,0.29
25/06/2025,Consumo kWh,0.30
25/06/2025,Temperatura °C,0.08
24/07/2025,Consumo kWh,0.30
24/07/2025,Temperatura °C,0.00
26/08/2025,Consumo kWh,1.00
26/08/2025,Temperatura °C,0.11
24/09/2025,Consumo kWh,1.00
24/09/2025,Temperatura °C,0.29
27/10/2025,Consumo kWh,0.45
27/10/2025,Temperatura °C,0.46
25/11/2025,Consumo kWh,0.45
25/11/2025,Temperatura °C,0.69
24/12/2025,Consumo kWh,0.39
24/12/2025,Temperatura °C,0.91
26/01/2026,Consumo kWh,0.00
26/01/2026,Temperatura °C,0.95
24/02/2026,Consumo kWh,0.12
24/02/2026,Temperatura °C,1.00
